entity_id,entity_type,actor_type,actor_name,action,details,timestamp
REC-2018-08-14-c70c1b0d,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-8d956fec,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 9 units,2018-08-28T09:00:00Z
REC-2018-08-14-8d956fec,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-81f89e42,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 7 units,2018-08-28T09:00:00Z
REC-2018-08-14-81f89e42,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-ea8482cd,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 12 units,2018-08-28T09:00:00Z
REC-2018-08-14-ea8482cd,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-f80edd2c,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 23 units,2018-08-28T09:00:00Z
REC-2018-08-14-f80edd2c,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-06a2c3af,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 19 units,2018-08-28T09:00:00Z
REC-2018-08-14-06a2c3af,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-7ad32824,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 24 units,2018-08-28T09:00:00Z
REC-2018-08-14-7ad32824,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-3d871de0,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-3d871de0,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-289cdb32,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-289cdb32,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-640e21a7,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 9 units,2018-08-28T09:00:00Z
REC-2018-08-14-640e21a7,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-53e4c6e0,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 27 units,2018-08-28T09:00:00Z
REC-2018-08-14-53e4c6e0,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-6860153b,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 6 units,2018-08-28T09:00:00Z
REC-2018-08-14-6860153b,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-1835b56c,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 12 units,2018-08-28T09:00:00Z
REC-2018-08-14-1835b56c,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-cc63f0dd,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 8 units,2018-08-28T09:00:00Z
REC-2018-08-14-cc63f0dd,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-1f50f920,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 12 units,2018-08-28T09:00:00Z
REC-2018-08-14-1f50f920,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-9b013e03,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 10 units,2018-08-28T09:00:00Z
REC-2018-08-14-9b013e03,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-f7ba60f8,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 8 units,2018-08-28T09:00:00Z
REC-2018-08-14-f7ba60f8,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-1900267e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 14 units,2018-08-28T09:00:00Z
REC-2018-08-14-1900267e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-16090f2c,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 19 units,2018-08-28T09:00:00Z
REC-2018-08-14-16090f2c,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-5a413ade,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 6 units,2018-08-28T09:00:00Z
REC-2018-08-14-5a413ade,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-5656537e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 9 units,2018-08-28T09:00:00Z
REC-2018-08-14-5656537e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-b39d7fe2,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 7 units,2018-08-28T09:00:00Z
REC-2018-08-14-b39d7fe2,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-c3384751,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-c3384751,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-c3cfdc64,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 14 units,2018-08-28T09:00:00Z
REC-2018-08-14-c3cfdc64,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-2138ccb8,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 7 units,2018-08-28T09:00:00Z
REC-2018-08-14-2138ccb8,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-ef2fbc2b,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 6 units,2018-08-28T09:00:00Z
REC-2018-08-14-ef2fbc2b,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-594f9aaa,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 6 units,2018-08-28T09:00:00Z
REC-2018-08-14-594f9aaa,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-7d13fca1,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 14 units,2018-08-28T09:00:00Z
REC-2018-08-14-7d13fca1,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-18e694e0,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 4 units,2018-08-28T09:00:00Z
REC-2018-08-14-18e694e0,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-d566c37f,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 5 units,2018-08-28T09:00:00Z
REC-2018-08-14-d566c37f,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-6edacfd9,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-6edacfd9,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-7299e27e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 10 units,2018-08-28T09:00:00Z
REC-2018-08-14-7299e27e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-391fc663,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 10 units,2018-08-28T09:00:00Z
REC-2018-08-14-391fc663,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-ea67327e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 7 units,2018-08-28T09:00:00Z
REC-2018-08-14-ea67327e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
