po_id,sku_id,status,ai_recommended_qty,ai_guardrail_flags,ai_drafted_at,human_approved_qty,reviewer_user_id,human_feedback,reviewed_at,executed_at,rec_id,store_id,decision_date,on_hand,reorder_point,safety_stock,service_level,days_to_stockout,stockout_risk_7d,cost_if_ignored,cost_of_action,net_benefit,rationale,evidence,proposer,verification
3528f4ee-ab44-5fd1-9ad0-47f3e8489dd4,cc419e0650a3c5ba77189a1882b7556a,PENDING_APPROVAL,22,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-cc419e06,OLIST-BR,2018-08-14,7.0,29.25,15.63,0.9,7.0,1.0,234.17,6.81,227.36,"Order 22.0 units of cc419e06 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.62, ""p90_lt"": 29.25, ""lead_time_mean"": 11.5, ""lead_time_std"": 8.1, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 22.0 units of cc419e06 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
136986b5-c41f-56ba-bc28-b3fbf9962674,d91fb3b7d041e83b64a00a3edfb37e4f,PENDING_APPROVAL,15,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-d91fb3b7,OLIST-BR,2018-08-14,7.0,21.89,5.87,0.9,7.0,1.0,256.5,5.13,251.37,"Order 15.0 units of d91fb3b7 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 16.02, ""p90_lt"": 21.89, ""lead_time_mean"": 11.4, ""lead_time_std"": 7.5, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 15.0 units of d91fb3b7 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
488e79bb-9b0d-5551-a0fe-c5ae15a47c11,671585f5a2af58b6e276bc01003c0d2b,PENDING_APPROVAL,4,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-671585f5,OLIST-BR,2018-08-14,7.0,10.99,3.33,0.9,7.0,0.329,16.87,0.5,16.37,"Order 4.0 units of 671585f5 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 7.66, ""p90_lt"": 10.99, ""lead_time_mean"": 5.7, ""lead_time_std"": 1.7, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 4.0 units of 671585f5 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
3fecf9d4-f9dd-53e3-81e7-6037f66d32b1,4869f7a5dfa277a7dca6462dcf3b52b2,PENDING_APPROVAL,20,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-4869f7a5,OLIST-BR,2018-08-14,7.0,27.35,7.98,0.9,7.0,1.0,1043.5,23.99,1019.51,"Order 20.0 units of 4869f7a5 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 19.37, ""p90_lt"": 27.35, ""lead_time_mean"": 15.0, ""lead_time_std"": 9.6, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 20.0 units of 4869f7a5 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
6bf2c1d2-e0d5-552d-9454-4f09099959ff,f8db351d8c4c4c22c6835c19a46f01b0,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-f8db351d,OLIST-BR,2018-08-14,7.0,19.32,5.51,0.9,7.0,1.0,139.63,2.75,136.88,"Order 12.0 units of f8db351d at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.81, ""p90_lt"": 19.32, ""lead_time_mean"": 10.0, ""lead_time_std"": 7.6, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 12.0 units of f8db351d at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
cb45de1f-d142-50a3-bcb2-c5f092a6c88e,c003204e1ab016dfa150abc119207b24,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-c003204e,OLIST-BR,2018-08-14,7.0,18.22,5.31,0.9,7.0,1.0,255.2,5.67,249.53,"Order 11.0 units of c003204e at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 12.91, ""p90_lt"": 18.22, ""lead_time_mean"": 9.8, ""lead_time_std"": 7.9, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 11.0 units of c003204e at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
ece80be3-43b0-5a7e-8732-c1430dc4236c,c70c1b0d8ca86052f45a432a38b73958,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-c70c1b0d,OLIST-BR,2018-08-14,7.0,18.35,8.0,0.9,7.0,0.469,141.54,4.42,137.12,"Order 11.0 units of c70c1b0d at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 10.35, ""p90_lt"": 18.35, ""lead_time_mean"": 7.6, ""lead_time_std"": 6.3, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 11.0 units of c70c1b0d at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
05b41370-4e92-5aba-bced-56e06b26693c,8d956fec2e4337affcb520f56fd8cbfd,PENDING_APPROVAL,9,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-8d956fec,OLIST-BR,2018-08-14,7.0,16.18,4.53,0.9,7.0,0.472,89.13,1.78,87.35,"Order 9.0 units of 8d956fec at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 11.66, ""p90_lt"": 16.18, ""lead_time_mean"": 9.3, ""lead_time_std"": 6.6, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 9.0 units of 8d956fec at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
3b051fc5-8673-598e-acb9-c0f2d75d24a8,81f89e42267213cb94da7ddc301651da,PENDING_APPROVAL,7,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-81f89e42,OLIST-BR,2018-08-14,7.0,14.01,6.52,0.9,7.0,0.442,38.67,1.85,36.82,"Order 7.0 units of 81f89e42 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 7.49, ""p90_lt"": 14.01, ""lead_time_mean"": 7.6, ""lead_time_std"": 3.4, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 7.0 units of 81f89e42 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
8298a816-3d7d-5e34-868f-35f0a563e496,ea8482cd71df3c1969d7b9473ff13abc,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-ea8482cd,OLIST-BR,2018-08-14,7.0,18.73,4.85,0.9,7.0,1.0,80.51,2.03,78.48,"Order 12.0 units of ea8482cd at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.88, ""p90_lt"": 18.73, ""lead_time_mean"": 13.4, ""lead_time_std"": 9.2, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 12.0 units of ea8482cd at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
8f58a2b1-9525-59c0-bba8-3608ccea20fe,f80edd2c5aaa505cc4b0a3b219abf4b8,PENDING_APPROVAL,23,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-f80edd2c,OLIST-BR,2018-08-14,7.0,29.88,17.74,0.9,7.0,1.0,224.49,7.73,216.76,"Order 23.0 units of f80edd2c at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 12.14, ""p90_lt"": 29.88, ""lead_time_mean"": 12.3, ""lead_time_std"": 8.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 23.0 units of f80edd2c at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
54c0b033-1bfb-5c2d-a4e9-5c4c78a54d50,06a2c3af7b3aee5d69171b0e14f0ee87,PENDING_APPROVAL,19,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-06a2c3af,OLIST-BR,2018-08-14,7.0,25.76,7.01,0.9,7.0,1.0,483.24,12.47,470.77,"Order 19.0 units of 06a2c3af at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 18.75, ""p90_lt"": 25.76, ""lead_time_mean"": 18.1, ""lead_time_std"": 9.2, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 19.0 units of 06a2c3af at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
046c8282-1db7-59e6-88fb-c5492e8c2631,7ad32824caee82087b3e2e5f33b1bf32,PENDING_APPROVAL,24,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-7ad32824,OLIST-BR,2018-08-14,7.0,30.51,17.29,0.9,7.0,1.0,422.14,13.22,408.92,"Order 24.0 units of 7ad32824 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.22, ""p90_lt"": 30.51, ""lead_time_mean"": 11.6, ""lead_time_std"": 8.7, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 24.0 units of 7ad32824 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
d15be46a-a0e1-5acc-90fe-00f13321de8f,3d871de0142ce09b7081e2b9d1733cb1,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-3d871de0,OLIST-BR,2018-08-14,7.0,18.01,4.51,0.9,7.0,1.0,193.2,5.23,187.97,"Order 11.0 units of 3d871de0 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.5, ""p90_lt"": 18.01, ""lead_time_mean"": 13.4, ""lead_time_std"": 9.1, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 11.0 units of 3d871de0 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
006ec7d7-bac8-5fa9-88d1-a31379fd742e,289cdb325fb7e7f891c38608bf9e0962,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-289cdb32,OLIST-BR,2018-08-14,7.0,17.56,6.27,0.9,7.0,0.447,216.91,4.11,212.8,"Order 11.0 units of 289cdb32 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 11.28, ""p90_lt"": 17.56, ""lead_time_mean"": 6.7, ""lead_time_std"": 3.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 11.0 units of 289cdb32 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
ebedca5a-548c-5af5-a58f-ecc94aef3611,640e21a7d01df7614a3b4923e990d40c,PENDING_APPROVAL,9,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-640e21a7,OLIST-BR,2018-08-14,7.0,15.82,4.75,0.9,7.0,0.478,99.93,2.21,97.72,"Order 9.0 units of 640e21a7 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 11.07, ""p90_lt"": 15.82, ""lead_time_mean"": 9.6, ""lead_time_std"": 4.9, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 9.0 units of 640e21a7 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
24383a65-f92f-53df-b1cd-32826d179a06,53e4c6e0f4312d4d2107a8c9cddf45cd,PENDING_APPROVAL,27,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-53e4c6e0,OLIST-BR,2018-08-14,7.0,33.58,20.41,0.9,7.0,1.0,211.81,7.58,204.23,"Order 27.0 units of 53e4c6e0 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 13.17, ""p90_lt"": 33.58, ""lead_time_mean"": 12.1, ""lead_time_std"": 10.4, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 27.0 units of 53e4c6e0 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
